N,model,seed,params,epochs_used,wall_s,test_acc
32,circuit,0,673,103,89.37,0.61376953125
32,circuit,1,673,41,44.59,0.53662109375
32,circuit,2,673,131,111.95,0.6240234375
32,mlp_matched,0,681,109,72.08,0.638671875
32,mlp_matched,1,681,76,50.47,0.5537109375
32,mlp_matched,2,681,103,67.67,0.6044921875
32,xgboost,0,968,200,0.18,0.59228515625
32,xgboost,1,1160,200,0.08,0.5673828125
32,xgboost,2,1308,200,0.07,0.61474609375
64,circuit,0,673,199,91.25,0.6396484375
64,circuit,1,673,117,59.58,0.58447265625
64,circuit,2,673,79,44.63,0.66455078125
64,mlp_matched,0,681,85,32.38,0.654296875
64,mlp_matched,1,681,200,69.04,0.642578125
64,mlp_matched,2,681,200,69.02,0.6630859375
64,xgboost,0,1930,200,0.44,0.609375
64,xgboost,1,2062,200,0.08,0.6328125
64,xgboost,2,2142,200,0.11,0.68212890625
128,circuit,0,673,97,33.96,0.71875
128,circuit,1,673,157,47.92,0.734375
128,circuit,2,673,90,32.72,0.71484375
128,mlp_matched,0,681,134,29.12,0.74072265625
128,mlp_matched,1,681,200,41.18,0.74169921875
128,mlp_matched,2,681,143,30.68,0.7509765625
128,xgboost,0,3784,200,0.15,0.74609375
128,xgboost,1,3924,200,0.17,0.70751953125
128,xgboost,2,3932,200,0.09,0.751953125
256,circuit,0,673,182,55.61,0.8486328125
256,circuit,1,673,122,41.85,0.8369140625
256,circuit,2,673,119,41.36,0.85498046875
256,mlp_matched,0,681,183,39.29,0.880859375
256,mlp_matched,1,681,200,43.43,0.80078125
256,mlp_matched,2,681,91,20.31,0.84423828125
256,xgboost,0,5366,200,0.61,0.900390625
256,xgboost,1,5386,200,0.11,0.880859375
256,xgboost,2,5152,200,0.16,0.88720703125
512,circuit,0,673,200,65.64,0.9697265625
512,circuit,1,673,182,61.9,0.96875
512,circuit,2,673,92,37.94,0.95703125
512,mlp_matched,0,681,200,46.1,0.96875
512,mlp_matched,1,681,200,46.65,0.962890625
512,mlp_matched,2,681,200,46.34,0.97607421875
512,xgboost,0,6114,200,0.15,0.9619140625
512,xgboost,1,6122,200,0.14,0.98193359375
512,xgboost,2,6086,200,0.18,0.96923828125
1024,circuit,0,673,100,46.22,0.9970703125
1024,circuit,1,673,69,36.24,0.998046875
1024,circuit,2,673,86,41.15,0.99853515625
1024,mlp_matched,0,681,96,26.88,0.99951171875
1024,mlp_matched,1,681,86,23.69,0.9970703125
1024,mlp_matched,2,681,102,28.21,1.0
1024,xgboost,0,6190,200,0.19,0.9931640625
1024,xgboost,1,6200,200,0.16,0.9990234375
1024,xgboost,2,6196,200,0.15,1.0
